Provider,total_claims,avg_reimbursement,max_reimbursement,total_reimbursement,avg_deductible,avg_length_of_stay,avg_patient_chronics,avg_months_partA,avg_months_partB,percent_renal_disease,gender_ratio,ChronicCond_Alzheimer_ratio,ChronicCond_Heartfailure_ratio,ChronicCond_KidneyDisease_ratio,ChronicCond_Cancer_ratio,ChronicCond_ObstrPulmonary_ratio,ChronicCond_Depression_ratio,ChronicCond_Diabetes_ratio,ChronicCond_IschemicHeart_ratio,ChronicCond_Osteoporasis_ratio,ChronicCond_rheumatoidarthritis_ratio,ChronicCond_stroke_ratio,PotentialFraud
PRV51015,8,87.5,200,700,0.0,,6.375,12.0,12.0,0.375,0.0,0.5,0.875,0.5,0.375,0.5,0.875,1.0,0.875,0.375,0.375,0.125,No
PRV51016,6,28.333333333333332,90,170,0.0,,5.5,12.0,12.0,0.16666666666666666,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.5,0.16666666666666666,No
PRV51017,515,277.126213592233,3300,142720,2.0388349514563107,,4.36504854368932,11.895145631067962,11.966990291262135,0.1650485436893204,0.4368932038834951,0.41941747572815535,0.570873786407767,0.4174757281553398,0.11262135922330097,0.3087378640776699,0.4077669902912621,0.6815533980582524,0.7495145631067961,0.3572815533980582,0.24854368932038834,0.0912621359223301,No
PRV51021,257,1357.3151750972763,57000,348830,122.53696498054475,4.793103448275862,4.715953307392996,11.95330739299611,11.914396887159533,0.22178988326848248,0.42412451361867703,0.3657587548638132,0.5642023346303502,0.47470817120622566,0.23346303501945526,0.40077821011673154,0.45136186770428016,0.754863813229572,0.7626459143968871,0.2723735408560311,0.33073929961089493,0.10505836575875487,Yes
PRV51023,36,1822.5,13000,65610,246.4,3.5555555555555554,4.361111111111111,12.0,12.0,0.2777777777777778,0.4166666666666667,0.4444444444444444,0.5833333333333334,0.4444444444444444,0.1388888888888889,0.2777777777777778,0.4444444444444444,0.5833333333333334,0.8333333333333334,0.25,0.2222222222222222,0.1388888888888889,No
PRV51024,39,1642.3076923076924,13000,64050,248.76923076923077,4.333333333333333,4.717948717948718,12.0,12.0,0.3076923076923077,0.4358974358974359,0.38461538461538464,0.5384615384615384,0.5897435897435898,0.1282051282051282,0.358974358974359,0.41025641025641024,0.7692307692307693,0.7435897435897436,0.28205128205128205,0.358974358974359,0.15384615384615385,No
PRV51025,87,1360.344827586207,17000,118350,164.183908045977,7.0,4.436781609195402,12.0,12.0,0.21839080459770116,0.47126436781609193,0.3218390804597701,0.5402298850574713,0.45977011494252873,0.14942528735632185,0.3218390804597701,0.47126436781609193,0.735632183908046,0.7126436781609196,0.3563218390804598,0.2988505747126437,0.06896551724137931,No
PRV51026,76,261.05263157894734,3300,19840,4.473684210526316,,4.078947368421052,11.68421052631579,12.0,0.15789473684210525,0.47368421052631576,0.39473684210526316,0.4342105263157895,0.39473684210526316,0.14473684210526316,0.19736842105263158,0.5131578947368421,0.7368421052631579,0.6578947368421053,0.2236842105263158,0.3026315789473684,0.07894736842105263,No
PRV51027,53,563.0188679245283,3300,29840,0.0,,4.830188679245283,11.773584905660377,11.962264150943396,0.3018867924528302,0.49056603773584906,0.4339622641509434,0.6792452830188679,0.5094339622641509,0.16981132075471697,0.3018867924528302,0.5660377358490566,0.7735849056603774,0.8113207547169812,0.18867924528301888,0.24528301886792453,0.1509433962264151,No
PRV51029,93,329.6774193548387,3300,30660,1.7204301075268817,,3.913978494623656,11.741935483870968,11.978494623655914,0.13978494623655913,0.43010752688172044,0.34408602150537637,0.4838709677419355,0.3548387096774194,0.0967741935483871,0.3118279569892473,0.3225806451612903,0.6666666666666666,0.7096774193548387,0.1827956989247312,0.3010752688172043,0.13978494623655913,No
PRV51030,171,4326.081871345029,57000,739760,510.2823529411765,4.621951219512195,4.7894736842105265,11.859649122807017,11.719298245614034,0.27485380116959063,0.4152046783625731,0.4269005847953216,0.6491228070175439,0.47368421052631576,0.17543859649122806,0.38011695906432746,0.4444444444444444,0.7309941520467836,0.8070175438596491,0.2807017543859649,0.34502923976608185,0.07602339181286549,No
PRV51031,185,1944.4324324324325,68000,359720,163.48108108108107,5.535714285714286,4.956756756756757,11.935135135135136,11.972972972972974,0.21081081081081082,0.372972972972973,0.4864864864864865,0.6918918918918919,0.4810810810810811,0.10270270270270271,0.3837837837837838,0.43783783783783786,0.7027027027027027,0.8162162162162162,0.4594594594594595,0.2918918918918919,0.10270270270270271,No
PRV51032,23,235.65217391304347,2900,5420,2.1739130434782608,,4.434782608695652,11.478260869565217,12.0,0.13043478260869565,0.43478260869565216,0.391304347826087,0.6521739130434783,0.43478260869565216,0.21739130434782608,0.34782608695652173,0.4782608695652174,0.6956521739130435,0.6956521739130435,0.17391304347826086,0.21739130434782608,0.13043478260869565,No
PRV51035,30,1085.3333333333333,29000,32560,47.6,14.0,4.933333333333334,12.0,11.7,0.26666666666666666,0.4,0.26666666666666666,0.6,0.6,0.13333333333333333,0.36666666666666664,0.6,0.7333333333333333,0.8,0.3333333333333333,0.23333333333333334,0.26666666666666666,No
PRV51036,278,269.3525179856115,4400,74880,5.071942446043166,,4.399280575539568,11.863309352517986,11.43525179856115,0.15827338129496402,0.41007194244604317,0.35611510791366907,0.5719424460431655,0.3920863309352518,0.11151079136690648,0.34172661870503596,0.4748201438848921,0.7230215827338129,0.7230215827338129,0.34172661870503596,0.2949640287769784,0.0683453237410072,No
PRV51037,454,753.8105726872246,23000,342230,56.220264317180614,4.521739130434782,4.656387665198238,11.973568281938325,11.931718061674008,0.14537444933920704,0.4251101321585903,0.42951541850220265,0.5969162995594713,0.3986784140969163,0.2290748898678414,0.34140969162995594,0.45154185022026433,0.6850220264317181,0.7995594713656388,0.3700440528634361,0.2907488986784141,0.06387665198237885,Yes
PRV51038,141,1882.9078014184397,17000,265490,222.8,4.033333333333333,4.843971631205674,11.914893617021276,11.936170212765957,0.22695035460992907,0.3617021276595745,0.49645390070921985,0.624113475177305,0.46099290780141844,0.19148936170212766,0.3049645390070922,0.44680851063829785,0.7730496453900709,0.7943262411347518,0.3262411347517731,0.3262411347517731,0.09929078014184398,No
PRV51040,86,865.9302325581396,21000,74470,103.34117647058824,10.555555555555555,4.372093023255814,11.790697674418604,12.0,0.1511627906976744,0.46511627906976744,0.4069767441860465,0.627906976744186,0.38372093023255816,0.08139534883720931,0.29069767441860467,0.47674418604651164,0.7325581395348837,0.7674418604651163,0.2441860465116279,0.23255813953488372,0.12790697674418605,No
PRV51041,34,217.94117647058823,3200,7410,7.9411764705882355,,4.088235294117647,12.0,12.0,0.08823529411764706,0.4117647058823529,0.47058823529411764,0.5,0.20588235294117646,0.29411764705882354,0.29411764705882354,0.4411764705882353,0.6470588235294118,0.7058823529411765,0.20588235294117646,0.2647058823529412,0.058823529411764705,No
PRV51042,142,338.38028169014086,3300,48050,2.183098591549296,,4.070422535211268,12.0,11.830985915492958,0.15492957746478872,0.4507042253521127,0.352112676056338,0.5211267605633803,0.4084507042253521,0.14084507042253522,0.2887323943661972,0.39436619718309857,0.6126760563380281,0.7605633802816901,0.2323943661971831,0.2676056338028169,0.09154929577464789,No
PRV51043,23,194.7826086956522,1100,4480,0.0,,4.260869565217392,12.0,12.0,0.043478260869565216,0.43478260869565216,0.34782608695652173,0.6956521739130435,0.30434782608695654,0.13043478260869565,0.34782608695652173,0.391304347826087,0.782608695652174,0.6521739130434783,0.391304347826087,0.21739130434782608,0.0,No
PRV51044,59,361.52542372881356,3300,21330,2.2033898305084745,,4.508474576271187,12.0,12.0,0.13559322033898305,0.559322033898305,0.3728813559322034,0.576271186440678,0.5084745762711864,0.11864406779661017,0.3220338983050847,0.3728813559322034,0.5932203389830508,0.847457627118644,0.3728813559322034,0.3559322033898305,0.06779661016949153,No
PRV51045,31,270.64516129032256,3300,8390,1.2903225806451613,,4.483870967741935,12.0,12.0,0.1935483870967742,0.3870967741935484,0.5161290322580645,0.5483870967741935,0.4838709677419355,0.0967741935483871,0.4838709677419355,0.41935483870967744,0.7419354838709677,0.7419354838709677,0.1935483870967742,0.1935483870967742,0.06451612903225806,No
PRV51046,38,2878.157894736842,38000,109370,227.47368421052633,4.5,5.105263157894737,11.68421052631579,11.68421052631579,0.10526315789473684,0.2894736842105263,0.3684210526315789,0.5526315789473685,0.3157894736842105,0.34210526315789475,0.39473684210526316,0.47368421052631576,0.8157894736842105,0.9210526315789473,0.39473684210526316,0.4473684210526316,0.07894736842105263,No
PRV51047,11,230.0,1300,2530,0.0,,3.909090909090909,12.0,12.0,0.0,0.5454545454545454,0.2727272727272727,0.5454545454545454,0.36363636363636365,0.0,0.36363636363636365,0.36363636363636365,0.6363636363636364,0.6363636363636364,0.2727272727272727,0.36363636363636365,0.09090909090909091,No
PRV51048,38,728.9473684210526,7000,27700,114.52631578947368,4.75,4.921052631578948,11.68421052631579,12.0,0.10526315789473684,0.4473684210526316,0.5789473684210527,0.5789473684210527,0.3684210526315789,0.13157894736842105,0.34210526315789475,0.5263157894736842,0.8421052631578947,0.8157894736842105,0.21052631578947367,0.5,0.02631578947368421,No
PRV51049,71,305.9154929577465,3300,21720,2.676056338028169,,4.661971830985915,11.661971830985916,11.830985915492958,0.23943661971830985,0.4788732394366197,0.4647887323943662,0.6338028169014085,0.4225352112676056,0.18309859154929578,0.4788732394366197,0.4647887323943662,0.6901408450704225,0.6197183098591549,0.30985915492957744,0.29577464788732394,0.09859154929577464,No
PRV51052,46,669.5652173913044,9000,30800,51.0,9.0,4.1521739130434785,11.73913043478261,12.0,0.1956521739130435,0.45652173913043476,0.32608695652173914,0.6304347826086957,0.391304347826087,0.13043478260869565,0.2608695652173913,0.41304347826086957,0.5869565217391305,0.6956521739130435,0.32608695652173914,0.2826086956521739,0.10869565217391304,Yes
PRV51053,1,8000.0,8000,8000,1068.0,5.0,4.0,12.0,12.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,No
PRV51054,57,265.43859649122805,1900,15130,2.456140350877193,,3.456140350877193,11.789473684210526,11.947368421052632,0.15789473684210525,0.45614035087719296,0.3684210526315789,0.49122807017543857,0.43859649122807015,0.03508771929824561,0.3508771929824561,0.42105263157894735,0.5087719298245614,0.5087719298245614,0.10526315789473684,0.12280701754385964,0.10526315789473684,No
PRV51055,22,983.6363636363636,16000,21640,100.27272727272727,5.5,4.681818181818182,12.0,12.0,0.22727272727272727,0.45454545454545453,0.45454545454545453,0.6818181818181818,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.5909090909090909,0.5,0.7727272727272727,0.3181818181818182,0.3181818181818182,0.13636363636363635,No
PRV51056,22,668.1818181818181,5000,14700,97.54545454545455,3.0,5.545454545454546,12.0,12.0,0.3181818181818182,0.4090909090909091,0.45454545454545453,0.5909090909090909,0.6818181818181818,0.22727272727272727,0.2727272727272727,0.5454545454545454,0.9090909090909091,0.8181818181818182,0.5454545454545454,0.2727272727272727,0.22727272727272727,No
PRV51057,5,1366.0,3300,6830,0.0,,3.2,12.0,12.0,0.0,0.4,0.0,0.8,0.2,0.4,0.2,0.0,0.2,1.0,0.0,0.4,0.0,No
PRV51058,83,1289.5180722891566,57000,107030,66.74698795180723,7.4,4.518072289156627,12.0,12.0,0.1686746987951807,0.4578313253012048,0.37349397590361444,0.5301204819277109,0.40963855421686746,0.10843373493975904,0.27710843373493976,0.4819277108433735,0.7469879518072289,0.7951807228915663,0.37349397590361444,0.3132530120481928,0.10843373493975904,No
PRV51059,96,4386.041666666667,57000,421060,280.625,6.88,4.208333333333333,11.5,11.635416666666666,0.1875,0.2604166666666667,0.3229166666666667,0.6458333333333334,0.3958333333333333,0.15625,0.3020833333333333,0.3854166666666667,0.6458333333333334,0.6875,0.2916666666666667,0.2708333333333333,0.10416666666666667,Yes
PRV51060,42,1040.7142857142858,14000,43710,127.14285714285714,4.8,4.523809523809524,11.428571428571429,11.785714285714286,0.19047619047619047,0.5238095238095238,0.38095238095238093,0.5952380952380952,0.4523809523809524,0.14285714285714285,0.38095238095238093,0.47619047619047616,0.7857142857142857,0.7142857142857143,0.19047619047619047,0.30952380952380953,0.09523809523809523,No
PRV51061,145,378.8965517241379,6700,54940,9.158620689655173,8.0,4.062068965517241,11.972413793103449,12.0,0.20689655172413793,0.31724137931034485,0.2482758620689655,0.42758620689655175,0.4,0.14482758620689656,0.2689655172413793,0.46206896551724136,0.7241379310344828,0.7172413793103448,0.3310344827586207,0.25517241379310346,0.08275862068965517,No
PRV51062,397,386.3476070528967,25000,153380,9.934508816120907,4.333333333333333,4.738035264483627,11.909319899244332,11.851385390428211,0.2695214105793451,0.34005037783375314,0.44080604534005036,0.6070528967254408,0.47858942065491183,0.1712846347607053,0.3022670025188917,0.5138539042821159,0.743073047858942,0.7128463476070529,0.3853904282115869,0.25440806045340053,0.12846347607052896,No
PRV51063,149,343.02013422818794,3300,51110,1.0738255033557047,,4.469798657718121,11.838926174496644,12.0,0.2348993288590604,0.40268456375838924,0.4228187919463087,0.610738255033557,0.4563758389261745,0.12751677852348994,0.2953020134228188,0.436241610738255,0.7046979865771812,0.7785234899328859,0.2550335570469799,0.2751677852348993,0.10738255033557047,No
PRV51064,303,1189.1749174917493,37000,360320,128.54125412541254,5.305555555555555,4.702970297029703,11.881188118811881,11.943894389438944,0.2079207920792079,0.4389438943894389,0.36303630363036304,0.6303630363036303,0.45874587458745875,0.12871287128712872,0.35313531353135313,0.47854785478547857,0.7293729372937293,0.7887788778877888,0.3333333333333333,0.30363036303630364,0.1353135313531353,Yes
PRV51065,28,2734.6428571428573,11000,76570,360.0740740740741,5.6,4.571428571428571,11.571428571428571,12.0,0.10714285714285714,0.39285714285714285,0.42857142857142855,0.6785714285714286,0.35714285714285715,0.03571428571428571,0.32142857142857145,0.5714285714285714,0.7142857142857143,0.8214285714285714,0.21428571428571427,0.17857142857142858,0.25,No
PRV51066,24,1032.9166666666667,15000,24790,93.16666666666667,2.0,3.875,12.0,12.0,0.16666666666666666,0.3333333333333333,0.5,0.5833333333333334,0.2916666666666667,0.08333333333333333,0.25,0.2916666666666667,0.5416666666666666,0.7083333333333334,0.2916666666666667,0.25,0.08333333333333333,No
PRV51067,58,5767.586206896552,83000,334520,225.79310344827587,6.583333333333333,4.5,11.586206896551724,11.568965517241379,0.22413793103448276,0.3275862068965517,0.29310344827586204,0.6379310344827587,0.43103448275862066,0.20689655172413793,0.2413793103448276,0.5689655172413793,0.7068965517241379,0.7413793103448276,0.3620689655172414,0.25862068965517243,0.05172413793103448,Yes
PRV51068,261,548.8888888888889,19000,143260,34.55384615384615,3.0,4.287356321839081,11.954022988505747,11.908045977011493,0.13026819923371646,0.4061302681992337,0.3793103448275862,0.5747126436781609,0.38697318007662834,0.14942528735632185,0.27586206896551724,0.40229885057471265,0.7126436781609196,0.6973180076628352,0.2988505747126437,0.29118773946360155,0.11877394636015326,No
PRV51070,99,1266.7676767676767,22000,125410,110.9090909090909,4.1,3.9696969696969697,11.878787878787879,12.0,0.18181818181818182,0.494949494949495,0.29292929292929293,0.5454545454545454,0.36363636363636365,0.1717171717171717,0.23232323232323232,0.3838383838383838,0.7070707070707071,0.7474747474747475,0.24242424242424243,0.16161616161616163,0.12121212121212122,No
PRV51071,24,356.25,3200,8550,2.0833333333333335,,4.875,11.5,11.541666666666666,0.041666666666666664,0.2916666666666667,0.5,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.375,0.5833333333333334,0.75,0.875,0.4166666666666667,0.20833333333333334,0.16666666666666666,No
PRV51072,212,562.122641509434,14000,119170,57.71563981042654,4.25,4.433962264150943,11.943396226415095,11.900943396226415,0.1650943396226415,0.42452830188679247,0.3584905660377358,0.5566037735849056,0.44339622641509435,0.1179245283018868,0.35377358490566035,0.3490566037735849,0.7405660377358491,0.7547169811320755,0.3443396226415094,0.330188679245283,0.08490566037735849,No
PRV51074,39,1055.6410256410256,15000,41170,138.97435897435898,2.6,4.615384615384615,12.0,11.692307692307692,0.1282051282051282,0.38461538461538464,0.38461538461538464,0.5897435897435898,0.46153846153846156,0.15384615384615385,0.3333333333333333,0.46153846153846156,0.717948717948718,0.8717948717948718,0.358974358974359,0.2564102564102564,0.02564102564102564,No
PRV51075,17,502.94117647058823,3000,8550,4.117647058823529,,4.470588235294118,11.294117647058824,11.294117647058824,0.11764705882352941,0.23529411764705882,0.17647058823529413,0.35294117647058826,0.23529411764705882,0.4117647058823529,0.23529411764705882,0.5882352941176471,0.8235294117647058,0.9411764705882353,0.17647058823529413,0.47058823529411764,0.058823529411764705,No
PRV51076,29,352.7586206896552,3300,10230,1.7241379310344827,,4.758620689655173,11.586206896551724,11.793103448275861,0.20689655172413793,0.4827586206896552,0.4482758620689655,0.5862068965517241,0.41379310344827586,0.27586206896551724,0.1724137931034483,0.3793103448275862,0.7586206896551724,0.896551724137931,0.3103448275862069,0.3793103448275862,0.13793103448275862,No
PRV51077,33,6192.424242424242,56000,204350,506.875,5.9375,5.696969696969697,12.0,11.969696969696969,0.30303030303030304,0.3939393939393939,0.48484848484848486,0.7272727272727273,0.6060606060606061,0.15151515151515152,0.36363636363636365,0.6363636363636364,0.8484848484848485,0.8787878787878788,0.48484848484848486,0.3939393939393939,0.12121212121212122,Yes
PRV51078,23,3403.0434782608695,16000,78270,392.90909090909093,6.666666666666667,4.217391304347826,12.0,12.0,0.17391304347826086,0.2608695652173913,0.30434782608695654,0.6086956521739131,0.30434782608695654,0.13043478260869565,0.34782608695652173,0.43478260869565216,0.6956521739130435,0.6956521739130435,0.30434782608695654,0.21739130434782608,0.17391304347826086,No
PRV51081,200,620.4,48000,124080,35.84,6.0,4.615,11.76,11.755,0.255,0.48,0.48,0.64,0.52,0.085,0.27,0.435,0.67,0.82,0.285,0.275,0.135,No
PRV51082,34,160.88235294117646,1000,5470,2.0588235294117645,,3.8529411764705883,12.0,12.0,0.20588235294117646,0.2647058823529412,0.4117647058823529,0.4411764705882353,0.38235294117647056,0.058823529411764705,0.17647058823529413,0.35294117647058826,0.8529411764705882,0.6470588235294118,0.23529411764705882,0.20588235294117646,0.08823529411764706,No
PRV51083,90,201.11111111111111,3300,18100,1.5555555555555556,,4.711111111111111,11.8,11.866666666666667,0.14444444444444443,0.36666666666666664,0.4111111111111111,0.6111111111111112,0.4777777777777778,0.14444444444444443,0.3111111111111111,0.5222222222222223,0.7222222222222222,0.8111111111111111,0.3333333333333333,0.25555555555555554,0.1111111111111111,No
PRV51084,110,1959.8181818181818,45000,215580,199.0,5.65,4.4363636363636365,12.0,11.945454545454545,0.09090909090909091,0.6,0.4636363636363636,0.5909090909090909,0.38181818181818183,0.08181818181818182,0.2636363636363636,0.34545454545454546,0.7909090909090909,0.7454545454545455,0.2545454545454545,0.39090909090909093,0.12727272727272726,Yes
PRV51086,139,3209.856115107914,57000,446170,238.61870503597123,4.838709677419355,4.41726618705036,12.0,11.971223021582734,0.22302158273381295,0.2949640287769784,0.33093525179856115,0.5683453237410072,0.4748201438848921,0.1510791366906475,0.3381294964028777,0.45323741007194246,0.7194244604316546,0.7841726618705036,0.2446043165467626,0.2805755395683453,0.07194244604316546,No
PRV51089,228,1012.719298245614,41000,230900,82.36123348017621,5.166666666666667,4.390350877192983,11.868421052631579,11.947368421052632,0.2324561403508772,0.40789473684210525,0.33771929824561403,0.5657894736842105,0.4517543859649123,0.14473684210526316,0.2982456140350877,0.4473684210526316,0.6666666666666666,0.7412280701754386,0.34649122807017546,0.2850877192982456,0.10526315789473684,No
PRV51090,7,832.8571428571429,3300,5830,8.571428571428571,,4.285714285714286,12.0,12.0,0.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.8571428571428571,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.0,No
PRV51091,44,210.6818181818182,2100,9270,1.8181818181818181,,4.5,11.727272727272727,11.795454545454545,0.11363636363636363,0.5,0.2727272727272727,0.6590909090909091,0.3181818181818182,0.11363636363636363,0.3409090909090909,0.5454545454545454,0.6590909090909091,0.8181818181818182,0.2727272727272727,0.36363636363636365,0.13636363636363635,No
PRV51093,9,1523.3333333333333,11000,13710,237.33333333333334,6.0,4.666666666666667,12.0,12.0,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.8888888888888888,0.4444444444444444,0.3333333333333333,0.1111111111111111,No
PRV51096,5,640.0,2100,3200,20.0,,4.8,12.0,12.0,0.4,0.6,0.6,0.8,0.6,0.0,0.2,0.6,0.8,0.6,0.4,0.2,0.0,No
PRV51097,125,355.36,3500,44420,1.84,,3.92,11.904,11.96,0.224,0.344,0.376,0.408,0.336,0.144,0.272,0.328,0.72,0.76,0.312,0.192,0.072,No
PRV51098,4,75.0,200,300,0.0,,6.0,12.0,9.75,0.5,0.5,0.0,1.0,0.5,0.25,0.5,0.5,1.0,1.0,0.25,0.75,0.25,No
PRV51100,5,15600.0,33000,78000,1068.0,6.0,3.6,12.0,12.0,0.2,0.2,0.2,0.8,0.4,0.0,0.2,0.2,0.6,0.8,0.0,0.4,0.0,No
PRV51101,3,5533.333333333333,13000,16600,1068.0,3.3333333333333335,6.333333333333333,12.0,12.0,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,No
PRV51102,12,12333.333333333334,47000,148000,1068.0,4.0,4.75,12.0,12.0,0.25,0.75,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.08333333333333333,0.25,0.3333333333333333,0.75,0.9166666666666666,0.08333333333333333,0.5,0.16666666666666666,No
PRV51103,6,73.33333333333333,200,440,10.0,,7.166666666666667,12.0,12.0,0.0,0.5,0.5,0.6666666666666666,1.0,0.0,0.5,0.8333333333333334,1.0,1.0,0.6666666666666666,1.0,0.0,Yes
PRV51104,12,158.33333333333334,700,1900,9.166666666666666,,5.0,12.0,12.0,0.16666666666666666,0.16666666666666666,0.5833333333333334,0.8333333333333334,0.25,0.0,0.5,0.4166666666666667,0.75,0.9166666666666666,0.4166666666666667,0.3333333333333333,0.0,No
PRV51105,12,545.0,1800,6540,0.0,,5.083333333333333,12.0,12.0,0.16666666666666666,0.5,0.5,0.8333333333333334,0.5833333333333334,0.25,0.3333333333333333,0.4166666666666667,0.9166666666666666,0.6666666666666666,0.3333333333333333,0.25,0.0,No
PRV51108,19,8210.526315789473,22000,156000,1068.0,5.2631578947368425,5.947368421052632,12.0,11.368421052631579,0.21052631578947367,0.3157894736842105,0.5789473684210527,0.6842105263157895,0.6842105263157895,0.21052631578947367,0.5789473684210527,0.47368421052631576,0.8421052631578947,0.8947368421052632,0.5263157894736842,0.21052631578947367,0.2631578947368421,No
PRV51109,3,6000.0,8000,18000,1068.0,6.333333333333333,8.333333333333334,12.0,12.0,0.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,No
PRV51110,5,5400.0,9000,27000,1068.0,10.2,5.6,12.0,12.0,0.4,0.6,0.6,0.8,0.8,0.0,0.2,0.8,1.0,1.0,0.2,0.2,0.0,No
PRV51111,132,415.6060606060606,7010,54860,1.5151515151515151,,4.492424242424242,11.909090909090908,11.984848484848484,0.26515151515151514,0.4015151515151515,0.3712121212121212,0.5454545454545454,0.5227272727272727,0.20454545454545456,0.2878787878787879,0.4090909090909091,0.7651515151515151,0.6893939393939394,0.2878787878787879,0.2727272727272727,0.13636363636363635,No
PRV51112,304,346.2171052631579,4100,105250,2.664473684210526,,4.3618421052631575,12.0,11.983552631578947,0.19078947368421054,0.39144736842105265,0.375,0.5625,0.4309210526315789,0.13815789473684212,0.28618421052631576,0.39144736842105265,0.7335526315789473,0.7269736842105263,0.3190789473684211,0.3256578947368421,0.07236842105263158,No
